,Unnamed: 0,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,last_seen,first_seen,date_stamp,last_change,new_entry,deletion,unchanged,month,listing_count,listing_date,delisting_date,new_listing_count,year_id,month_id
0,0,NK-28ZcFDmHBF9L3WkDBBwH6H,Company,GAZPROMBANK LEASING ZAO,CLOSED JOINT-STOCK COMPANY GAZPROMBANK LIZING,,ru,"D.40 Ulitsa Miklukho-Maklaya, Moscow, 117342;Proektiruyemiy proezd No 4062, building 6, structure 16, BTs 'Port Plaza', Moscow, 115432",1037728033606;7728294503,13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;Program - Consolidated List - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,2021-09-26 14:52:11,2021-09-28 03:03:19,20210928,,True,False,False,2021-09,867,20210928,,1,2021,1
1,1,NK-2BsamqL437nSYMzH9KHktg,Organization,"SZ DJI Technology Co., Ltd.",深圳市大疆创新科技有限公司,,cn,"14 F, West Block of Skyworth Semiconductor Design Building, No. 18 Gaoxin South 4th Road, Nanshan District, 518057 Guangdong",914403007954257495,Consolidated List - Program - CMIC Executive Order - Executive Order 14032 (CMIC) - 2022-12-16 - 2022-02-14;Non-SDN CMIC List - Program - CMIC Executive Order - Executive Order 14032 (CMIC) - 2022-12-16 - 2022-02-14,,,US OFAC Consolidated (non-SDN) List,2021-12-17 03:03:07,2022-03-19 18:17:19,20220319,,True,False,False,2022-03,470,20220319,,1,2022,2
2,2,NK-2FBeAKkRfBHbfVLpuEpNZv,Person,Yahia Abdul Aziz AL-ABADSAH,Yehia Abdul Aziz EL ABADSA,1958,ps,Khan Younis,,Reject - Program - Consolidated List - General License 4 Under EO 13224 (Terrorism) - 2014-10-10;Reject - Program - Non-SDN Palestinian Legislative Council List - General License 4 Under EO 13224 (Terrorism) - 2006-04-12,,,US OFAC Consolidated (non-SDN) List,2021-09-30 11:39:21,2021-09-30 11:39:21,20210930,,True,False,False,2021-09,867,20210930,,1,2021,1
3,3,NK-2FbKDZw9xDh29GoQicYG8f,Company,SBERBANK INSURANCE COMPANY LTD,"LLC INSURANCE COMPANY SBERBANK INSURANCE;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STRAKHOVAYA KOMPANIYA SBERBANK OBSHCHEE STRAKHOVANIE;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STRAKHOVAYA KOMPANIYA SBERBANK STRAKHOVANIE;SBERBANK STRAHOVANIE OOO SK;SK SBERBANK STRAHOVANIE, LLC",,ru,"42 Bolshaya Yakimanka St., b. 1-2, office 209, Moscow, Russia, 119049;7 ul. Pavlovskaya, Moscow, Russia",1147746683479,13662 Sectoral Directive 1 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,2021-07-26 11:55:45,2021-09-18 12:23:43,20210918,,True,False,False,2021-09,867,20210918,,1,2021,1
4,4,NK-2JCKKtyfmLdhLbRRvconU8,Company,KORUS CONSULTING CIS LIMITED LIABILITY COMPANY,"KORUS KONSALTING SNG, OOO;LLL KORUS CONSULTING CIS;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU KORUS KONSALTING SNG",,ru,"68 Sampsonievsky Avenue, letter N, Room 1N, Saint Petersburg, 194100",1057812752502,13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;Program - Consolidated List - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,2021-09-26 14:52:11,2021-09-28 03:03:19,20210928,,True,False,False,2021-09,867,20210928,,1,2021,1
5,5,NK-2MqAgAwD9CF599g27V4YQZ,Company,SBERBANK FINANCE COMPANY LIMITED LIABILITY COMPANY,"LIMITED LIABILITY COMPANY SBERBANK FINANCIAL COMPANY;LLC SBERBANK FINANCIAL COMPANY;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU FINANSOVAYA KOMPANIYA SBERBANKA;SBERBANK-FINANS, OOO",,ru,"d.29/16 per. Sivtsev Vrazhek, Moscow, Russia, 119002",1107746399903,13662 Sectoral Directive 1 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,2021-07-26 11:55:45,2021-09-18 12:23:43,20210918,,True,False,False,2021-09,867,20210918,,1,2021,1
6,6,NK-2QY2vmcAqNQjDTRMXKoB9a,Company,OMZ OAO,OBYEDINYONNYE MASHINOSTROITELNYE ZAVODY (GRUPPA URALMASH-IZHORA),,ru,"24 Timura Frunze Street, Moscow, Russia, 119021;Bld. 20, Ovchinnikovskaya Emb., Moscow, Russia, 115035",1026605610800;6663059899,13662 Sectoral Directive 1 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,2021-07-26 11:55:45,2021-09-18 12:23:43,20210918,,True,False,False,2021-09,867,20210918,,1,2021,1
7,7,NK-2Uikrh86ooTi8Edk2rY7NG,Company,SO TVERNEFTEPRODUKT OOO,LIMITED LIABILITY COMPANY MARKETING ASSOCIATION TVERNEFTEPRODUCT;LLC MA TVERNEFTEPRODUCT,,ru,"6 Novotorzhskaya Ulitsa, Tver, Russia;Russia",1026900510647;6905041501,13662 Sectoral Directive 4 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2018-01-26;13662 Sectoral Directive 4 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2018-01-26,,tnp@dep.tvcom.ru,US OFAC Consolidated (non-SDN) List,2021-07-26 11:55:45,2021-09-18 12:23:43,20210918,,True,False,False,2021-09,867,20210918,,1,2021,1
8,8,NK-2b3JsFBcR3DFcyA5EfYuX2,Company,"GAZPROM GEOLOGORAZVEDKA, OOO",GAZPROM GEOLOGORAZVEDKA;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM GEOLOGORAZVEDKA';Obshchestvo S Ogranichennoi Otvetstvennostyu Gazprom Dobycha Krasnoyarsk,,ru,"d.70 ul.Gertsena, Tyumen, Tyumenskaya obl., 625000",1042401809560;2460066149,Program - 13662 Sectoral Directive 4 - Consolidated List - Executive Order 13662 (Ukraine) - 2016-09-01;Sectoral Sanctions Identifications List - Program - 13662 Sectoral Directive 4 - Executive Order 13662 (Ukraine) - 2016-09-01,,a.davydov@ggr.gazprom.ru,US OFAC Consolidated (non-SDN) List,2021-09-30 11:39:21,2021-09-30 11:39:21,20210930,,True,False,False,2021-09,867,20210930,,1,2021,1
9,9,NK-2mSrMGx5jPwHoC7C6P5AUr,Person,Ibrahim Mohammed DAHBOUR,,1968,ps,Jenin,,Reject - Program - Consolidated List - General License 4 Under EO 13224 (Terrorism) - 2014-10-10;Reject - Program - Non-SDN Palestinian Legislative Council List - General License 4 Under EO 13224 (Terrorism) - 2006-04-12,,,US OFAC Consolidated (non-SDN) List,2021-09-30 11:39:21,2021-09-30 11:39:21,20210930,,True,False,False,2021-09,867,20210930,,1,2021,1
